acl;2.3.2;https://download.savannah.gnu.org/releases/acl/acl-@.tar.xz;590765dee95907dbc3c856f7255bd669
attr;2.5.2;https://download.savannah.gnu.org/releases/attr/attr-@.tar.gz;227043ec2f6ca03c0948df5517f9c927
autoconf;2.72;https://ftp.gnu.org/gnu/autoconf/autoconf-@.tar.xz;1be79f7106ab6767f18391c5e22be701
automake;1.17;https://ftp.gnu.org/gnu/automake/automake-@.tar.xz;7ab3a02318fee6f5bd42adfc369abf10
bash;5.2.37;https://ftp.gnu.org/gnu/bash/bash-@.tar.gz;9c28f21ff65de72ca329c1779684a972
bc;7.0.3;https://github.com/gavinhoward/bc/releases/download/@/bc-@.tar.xz;ad4db5a0eb4fdbb3f6813be4b6b3da74
binutils;2.44;https://sourceware.org/pub/binutils/releases/binutils-@.tar.xz;49912ce774666a30806141f106124294
bison;3.8.2;https://ftp.gnu.org/gnu/bison/bison-@.tar.xz;c28f119f405a2304ff0a7ccdcc629713
bzip2;1.0.8;https://www.sourceware.org/pub/bzip2/bzip2-@.tar.gz;67e051268d0c475ea773822f7500d0e5
check;0.15.2;https://github.com/libcheck/check/releases/download/@/check-@.tar.gz;50fcafcecde5a380415b12e9c574e0b2
coreutils;9.6;https://ftp.gnu.org/gnu/coreutils/coreutils-@.tar.xz;0ed6cc983fe02973bc98803155cc1733
dejagnu;1.6.3;https://ftp.gnu.org/gnu/dejagnu/dejagnu-@.tar.gz;68c5208c58236eba447d7d6d1326b821
diffutils;3.11;https://ftp.gnu.org/gnu/diffutils/diffutils-@.tar.xz;75ab2bb7b5ac0e3e10cece85bd1780c2
e2fsprogs;1.47.2;https://downloads.sourceforge.net/project/e2fsprogs/e2fsprogs/v@/e2fsprogs-@.tar.gz;752e5a3ce19aea060d8a203f2fae9baa
elfutils;0.192;https://sourceware.org/ftp/elfutils/@/elfutils-@.tar.bz2;a6bb1efc147302cfc15b5c2b827f186a
libelf;0.192;https://sourceware.org/ftp/elfutils/@/elfutils-@.tar.bz2;a6bb1efc147302cfc15b5c2b827f186a
expat;2.6.4;https://github.com/libexpat/libexpat/releases/download/R_2_6_4/expat-@.tar.xz;101fe3e320a2800f36af8cf4045b45c7
expect;5.45.4;https://prdownloads.sourceforge.net/expect/expect@.tar.gz;00fce8de158422f5ccd2666512329bd2
file;5.46;https://astron.com/pub/file/file-@.tar.gz;459da2d4b534801e2e2861611d823864
findutils;4.10.0;https://ftp.gnu.org/gnu/findutils/findutils-@.tar.xz;870cfd71c07d37ebe56f9f4aaf4ad872
flex;2.6.4;https://github.com/westes/flex/releases/download/v@/flex-@.tar.gz;2882e3179748cc9f9c23ec593d6adc8d
flit-core;3.11.0;https://pypi.org/packages/source/f/flit-core/flit_core-@.tar.gz;6d677b1acef1769c4c7156c7508e0dbd
gawk;5.3.1;https://ftp.gnu.org/gnu/gawk/gawk-@.tar.xz;4e9292a06b43694500e0620851762eec
gcc;14.2.0;https://ftp.gnu.org/gnu/gcc/gcc-@/gcc-@.tar.xz;2268420ba02dc01821960e274711bde0
libstdc++;14.2.0;http://ftp.gnu.org/gnu/gcc/gcc-@/gcc-@.tar.xz;2268420ba02dc01821960e274711bde0
gdbm;1.24;https://ftp.gnu.org/gnu/gdbm/gdbm-@.tar.gz;c780815649e52317be48331c1773e987
gettext;0.24;https://ftp.gnu.org/gnu/gettext/gettext-@.tar.xz;87aea3013802a3c60fa3feb5c7164069
glibc;2.41;https://ftp.gnu.org/gnu/glibc/glibc-@.tar.xz;19862601af60f73ac69e067d3e9267d4
gmp;6.3.0;https://ftp.gnu.org/gnu/gmp/gmp-@.tar.xz;956dc04e864001a9c22429f761f2c283
gperf;3.1;https://ftp.gnu.org/gnu/gperf/gperf-@.tar.gz;9e251c0a618ad0824b51117d5d9db87e
grep;3.11;https://ftp.gnu.org/gnu/grep/grep-@.tar.xz;7c9bbd74492131245f7cdb291fa142c0
groff;1.23.0;https://ftp.gnu.org/gnu/groff/groff-@.tar.gz;5e4f40315a22bb8a158748e7d5094c7d
grub;2.12;https://ftp.gnu.org/gnu/grub/grub-@.tar.xz;60c564b1bdc39d8e43b3aab4bc0fb140
gzip;1.13;https://ftp.gnu.org/gnu/gzip/gzip-@.tar.xz;d5c9fc9441288817a4a0be2da0249e29
iana-etc;20250123;https://github.com/Mic92/iana-etc/releases/download/@/iana-etc-@.tar.gz;f8a0ebdc19a5004cf42d8bdcf614fa5d
inetutils;2.6;https://ftp.gnu.org/gnu/inetutils/inetutils-@.tar.xz;401d7d07682a193960bcdecafd03de94
intltool;0.51.0;https://launchpad.net/intltool/trunk/@/+download/intltool-@.tar.gz;12e517cac2b57a0121cda351570f1e63
iproute2;6.13.0;https://www.kernel.org/pub/linux/utils/net/iproute2/iproute2-@.tar.xz;1603d25120d03feeaba9b360d03ffaec
jinja2;3.1.5;https://pypi.org/packages/source/J/Jinja2/jinja2-@.tar.gz;083d64f070f6f1b5f75971ae60240785
kbd;2.7.1;https://www.kernel.org/pub/linux/utils/kbd/kbd-@.tar.xz;f15673d9f748e58f82fa50cff0d0fd20
kmod;34;https://www.kernel.org/pub/linux/utils/kernel/kmod/kmod-@.tar.xz;3e6c5c9ad9c7367ab9c3cc4f08dfde62
less;668;https://www.greenwoodsoftware.com/less/less-@.tar.gz;d72760386c5f80702890340d2f66c302
lfs-bootscripts;20240825;https://www.linuxfromscratch.org/lfs/downloads/12.3/lfs-bootscripts-@.tar.xz;7b078c594a77e0f9cd53a0027471c3bc
libcap;2.73;https://www.kernel.org/pub/linux/libs/security/linux-privs/libcap2/libcap-@.tar.xz;0e186df9de9b1e925593a96684fe2e32
libffi;3.4.7;https://github.com/libffi/libffi/releases/download/v@/libffi-@.tar.gz;696a1d483a1174ce8a477575546a5284
libpipeline;1.5.8;https://download.savannah.gnu.org/releases/libpipeline/libpipeline-@.tar.gz;17ac6969b2015386bcb5d278a08a40b5
libtool;2.5.4;https://ftp.gnu.org/gnu/libtool/libtool-@.tar.xz;22e0a29df8af5fdde276ea3a7d351d30
libxcrypt;4.4.38;https://github.com/besser82/libxcrypt/releases/download/v@/libxcrypt-@.tar.xz;1796a5d20098e9dd9e3f576803c83000
linux;6.13.4;https://www.kernel.org/pub/linux/kernel/v6.x/linux-@.tar.xz;13b9e6c29105a34db4647190a43d1810
linux-api-headers;6.13.4;https://www.kernel.org/pub/linux/kernel/v5.x/linux-@.tar.xz;13b9e6c29105a34db4647190a43d1810
lz4;1.10.0;https://github.com/lz4/lz4/releases/download/v@/lz4-@.tar.gz;dead9f5f1966d9ae56e1e32761e4e675
m4;1.4.19;https://ftp.gnu.org/gnu/m4/m4-@.tar.xz;0d90823e1426f1da2fd872df0311298d
make;4.4.1;https://ftp.gnu.org/gnu/make/make-@.tar.gz;c8469a3713cbbe04d955d4ae4be23eeb
man-db;2.13.0;https://download.savannah.gnu.org/releases/man-db/man-db-@.tar.xz;97ab5f9f32914eef2062d867381d8cee
man-pages;6.12;https://www.kernel.org/pub/linux/docs/man-pages/man-pages-@.tar.xz;44de430a598605eaba3e36dd43f24298
markupsafe;3.0.2;https://pypi.org/packages/source/M/MarkupSafe/markupsafe-@.tar.gz;cb0071711b573b155cc8f86e1de72167
meson;1.7.0;https://github.com/mesonbuild/meson/releases/download/@/meson-@.tar.gz;c20f3e5ebbb007352d22f4fd6ceb925c
mpc;1.3.1;https://ftp.gnu.org/gnu/mpc/mpc-@.tar.gz;5c9bc658c9fd0f940e8e3e0f09530c62
mpfr;4.2.1;https://ftp.gnu.org/gnu/mpfr/mpfr-@.tar.xz;523c50c6318dde6f9dc523bc0244690a
ncurses;6.5;https://invisible-mirror.net/archives/ncurses/ncurses-@.tar.gz;ac2d2629296f04c8537ca706b6977687
